1 2 4,3 9,3 7 8 9 12 13 14 18 19,5 6 7
1 2 4,3 9,1 2 4,5 6 7
3 5 8 9 10 13 14 18 19,3 9,0 1 4,5 6 7
0 5 8 9 10 13 14 18 19,9,2 7 8 9 12 13 14 18 19,0 1 2 4 8 9 14 19
1 2 4,3 9,0 1 4,5 6 7
6 7 15,0 1 2 4 9 14 18 19,2 3 8 9 13 14 18 19,10 15
6 7 15,0 1 2 4 9 14 18 19,5 9 17,10 15
0 3 8 9 13 14 18 19,0 1 2 4 9 14 18 19,5 6 17,12 17
0 3 9 10 14 19,3 9,2 3 7 9 12 14 19,13 18
0 3 5 8 9 10 13 14 18 19,3 9,2 3 7 8 9 12 13 14 18 19,0 1 2 3 4 5 6 7 8 9 14 19
11 12 16 17,5 10,2 3 8 9 13 14 18 19,10 15
11 12 16 17,6 11 15 16 17,10 11 15 16,11 16
0 3 8 9 13 14 18 19,7 12,10 11 15 16,12 17
0 3 9 14 19,8 13,2 3 9 14 19,13 18
0 3 5 8 9 10 13 18 19,3 9,2 3 5 8 9 12 13 18 19,5 6 7
11 12 16 17,5 10,5 6,11 16
11 12 17,6 11 15 17,10 11 15,11
6 7 15,7 12,10 11 15 16,11 16
0 3 5 9 10 14 19,8 13,2 3 7 9 12 14 19,5 6 7
0 3 5 8 9 10 13 14 18,3 9,2 3 7 8 9 12 13 14 18,5 6 7
